date,state,fips,cases,deaths
2020-01-21,WA,53,1,0
2020-01-22,WA,53,1,0
2020-01-23,WA,53,1,0
2020-01-24,IL,17,1,0
2020-01-24,WA,53,1,0
2020-01-25,CA,6,1,0
2020-01-25,IL,17,1,0
2020-01-25,WA,53,1,0
2020-01-26,AZ,4,1,0
2020-01-26,CA,6,2,0
2020-01-26,IL,17,1,0
2020-01-26,WA,53,1,0
2020-01-27,AZ,4,1,0
2020-01-27,CA,6,2,0
2020-01-27,IL,17,1,0
2020-01-27,WA,53,1,0
2020-01-28,AZ,4,1,0
2020-01-28,CA,6,2,0
2020-01-28,IL,17,1,0
2020-01-28,WA,53,1,0
2020-01-29,AZ,4,1,0
2020-01-29,CA,6,2,0
2020-01-29,IL,17,1,0
2020-01-29,WA,53,1,0
2020-01-30,AZ,4,1,0
2020-01-30,CA,6,2,0
2020-01-30,IL,17,2,0
2020-01-30,WA,53,1,0
2020-01-31,AZ,4,1,0
2020-01-31,CA,6,3,0
2020-01-31,IL,17,2,0
2020-01-31,WA,53,1,0
2020-02-01,AZ,4,1,0
2020-02-01,CA,6,3,0
2020-02-01,IL,17,2,0
2020-02-01,MA,25,1,0
2020-02-01,WA,53,1,0
2020-02-02,AZ,4,1,0
2020-02-02,CA,6,6,0
2020-02-02,IL,17,2,0
2020-02-02,MA,25,1,0
2020-02-02,WA,53,1,0
2020-02-03,AZ,4,1,0
2020-02-03,CA,6,6,0
2020-02-03,IL,17,2,0
2020-02-03,MA,25,1,0
2020-02-03,WA,53,1,0
2020-02-04,AZ,4,1,0
2020-02-04,CA,6,6,0
2020-02-04,IL,17,2,0
2020-02-04,MA,25,1,0
2020-02-04,WA,53,1,0
2020-02-05,AZ,4,1,0
2020-02-05,CA,6,6,0
2020-02-05,IL,17,2,0
2020-02-05,MA,25,1,0
2020-02-05,WA,53,1,0
2020-02-05,WI,55,1,0
2020-02-06,AZ,4,1,0
2020-02-06,CA,6,6,0
2020-02-06,IL,17,2,0
2020-02-06,MA,25,1,0
2020-02-06,WA,53,1,0
2020-02-06,WI,55,1,0
2020-02-07,AZ,4,1,0
2020-02-07,CA,6,6,0
2020-02-07,IL,17,2,0
2020-02-07,MA,25,1,0
2020-02-07,WA,53,1,0
2020-02-07,WI,55,1,0
2020-02-08,AZ,4,1,0
2020-02-08,CA,6,6,0
2020-02-08,IL,17,2,0
2020-02-08,MA,25,1,0
2020-02-08,WA,53,1,0
2020-02-08,WI,55,1,0
2020-02-09,AZ,4,1,0
2020-02-09,CA,6,6,0
2020-02-09,IL,17,2,0
2020-02-09,MA,25,1,0
2020-02-09,WA,53,1,0
2020-02-09,WI,55,1,0
2020-02-10,AZ,4,1,0
2020-02-10,CA,6,7,0
2020-02-10,IL,17,2,0
2020-02-10,MA,25,1,0
2020-02-10,WA,53,1,0
2020-02-10,WI,55,1,0
2020-02-11,AZ,4,1,0
2020-02-11,CA,6,7,0
2020-02-11,IL,17,2,0
2020-02-11,MA,25,1,0
2020-02-11,WA,53,1,0
2020-02-11,WI,55,1,0
2020-02-12,AZ,4,1,0
2020-02-12,CA,6,7,0
2020-02-12,IL,17,2,0
2020-02-12,MA,25,1,0
2020-02-12,TX,48,1,0
2020-02-12,WA,53,1,0
2020-02-12,WI,55,1,0
2020-02-13,AZ,4,1,0
2020-02-13,CA,6,7,0
2020-02-13,IL,17,2,0
2020-02-13,MA,25,1,0
2020-02-13,TX,48,2,0
2020-02-13,WA,53,1,0
2020-02-13,WI,55,1,0
2020-02-14,AZ,4,1,0
2020-02-14,CA,6,7,0
2020-02-14,IL,17,2,0
2020-02-14,MA,25,1,0
2020-02-14,TX,48,2,0
2020-02-14,WA,53,1,0
2020-02-14,WI,55,1,0
2020-02-15,AZ,4,1,0
2020-02-15,CA,6,7,0
2020-02-15,IL,17,2,0
2020-02-15,MA,25,1,0
2020-02-15,TX,48,2,0
2020-02-15,WA,53,1,0
2020-02-15,WI,55,1,0
2020-02-16,AZ,4,1,0
2020-02-16,CA,6,7,0
2020-02-16,IL,17,2,0
2020-02-16,MA,25,1,0
2020-02-16,TX,48,2,0
2020-02-16,WA,53,1,0
2020-02-16,WI,55,1,0
2020-02-17,AZ,4,1,0
2020-02-17,CA,6,7,0
2020-02-17,IL,17,2,0
2020-02-17,MA,25,1,0
2020-02-17,NE,31,10,0
2020-02-17,TX,48,2,0
2020-02-17,WA,53,1,0
2020-02-17,WI,55,1,0
2020-02-18,AZ,4,1,0
2020-02-18,CA,6,7,0
2020-02-18,IL,17,2,0
2020-02-18,MA,25,1,0
2020-02-18,NE,31,10,0
2020-02-18,TX,48,2,0
2020-02-18,WA,53,1,0
2020-02-18,WI,55,1,0
2020-02-19,AZ,4,1,0
2020-02-19,CA,6,7,0
2020-02-19,IL,17,2,0
2020-02-19,MA,25,1,0
2020-02-19,NE,31,10,0
2020-02-19,TX,48,2,0
2020-02-19,WA,53,1,0
2020-02-19,WI,55,1,0
2020-02-20,AZ,4,1,0
2020-02-20,CA,6,8,0
2020-02-20,IL,17,2,0
2020-02-20,MA,25,1,0
2020-02-20,NE,31,11,0
2020-02-20,TX,48,2,0
2020-02-20,WA,53,1,0
2020-02-20,WI,55,1,0
2020-02-21,AZ,4,1,0
2020-02-21,CA,6,9,0
2020-02-21,IL,17,2,0
2020-02-21,MA,25,1,0
2020-02-21,NE,31,11,0
2020-02-21,TX,48,4,0
2020-02-21,WA,53,1,0
2020-02-21,WI,55,1,0
2020-02-22,AZ,4,1,0
2020-02-22,CA,6,9,0
2020-02-22,IL,17,2,0
2020-02-22,MA,25,1,0
2020-02-22,NE,31,11,0
2020-02-22,TX,48,4,0
2020-02-22,WA,53,1,0
2020-02-22,WI,55,1,0
2020-02-23,AZ,4,1,0
2020-02-23,CA,6,9,0
2020-02-23,IL,17,2,0
2020-02-23,MA,25,1,0
2020-02-23,NE,31,11,0
2020-02-23,TX,48,4,0
2020-02-23,WA,53,1,0
2020-02-23,WI,55,1,0
2020-02-24,AZ,4,1,0
2020-02-24,CA,6,11,0
2020-02-24,IL,17,2,0
2020-02-24,MA,25,1,0
2020-02-24,NE,31,12,0
2020-02-24,TX,48,10,0
2020-02-24,WA,53,5,0
2020-02-24,WI,55,1,0
2020-02-25,AZ,4,1,0
2020-02-25,CA,6,11,0
2020-02-25,IL,17,2,0
2020-02-25,MA,25,1,0
2020-02-25,NE,31,13,0
2020-02-25,TX,48,10,0
2020-02-25,UT,49,1,0
2020-02-25,WA,53,5,0
2020-02-25,WI,55,1,0
2020-02-26,AZ,4,1,0
2020-02-26,CA,6,26,0
2020-02-26,IL,17,2,0
2020-02-26,MA,25,1,0
2020-02-26,NE,31,13,0
2020-02-26,TX,48,10,0
2020-02-26,UT,49,1,0
2020-02-26,WA,53,5,0
2020-02-26,WI,55,1,0
2020-02-27,AZ,4,1,0
2020-02-27,CA,6,26,0
2020-02-27,IL,17,2,0
2020-02-27,MA,25,1,0
2020-02-27,NE,31,13,0
2020-02-27,TX,48,10,0
2020-02-27,UT,49,1,0
2020-02-27,WA,53,5,0
2020-02-27,WI,55,1,0
2020-02-28,AZ,4,1,0
2020-02-28,CA,6,27,0
2020-02-28,IL,17,2,0
2020-02-28,MA,25,1,0
2020-02-28,NE,31,13,0
2020-02-28,OR,41,1,0
2020-02-28,TX,48,11,0
2020-02-28,UT,49,1,0
2020-02-28,WA,53,7,0
2020-02-28,WI,55,1,0
2020-02-29,AZ,4,1,0
2020-02-29,CA,6,28,0
2020-02-29,IL,17,3,0
2020-02-29,MA,25,1,0
2020-02-29,NE,31,13,0
2020-02-29,OR,41,1,0
2020-02-29,TX,48,11,0
2020-02-29,UT,49,1,0
2020-02-29,WA,53,10,1
2020-02-29,WI,55,1,0
2020-03-01,AZ,4,1,0
2020-03-01,CA,6,33,0
2020-03-01,FL,12,2,0
2020-03-01,IL,17,3,0
2020-03-01,MA,25,1,0
2020-03-01,NE,31,13,0
2020-03-01,NY,36,1,0
2020-03-01,OR,41,2,0
2020-03-01,RI,44,2,0
2020-03-01,TX,48,11,0
2020-03-01,UT,49,1,0
2020-03-01,WA,53,17,3
2020-03-01,WI,55,1,0
2020-03-02,AZ,4,1,0
2020-03-02,CA,6,38,0
2020-03-02,FL,12,2,0
2020-03-02,GA,13,2,0
2020-03-02,IL,17,4,0
2020-03-02,MA,25,2,0
2020-03-02,NE,31,13,0
2020-03-02,NH,33,1,0
2020-03-02,NY,36,1,0
2020-03-02,OR,41,2,0
2020-03-02,RI,44,2,0
2020-03-02,TX,48,11,0
2020-03-02,UT,49,1,0
2020-03-02,WA,53,23,6
2020-03-02,WI,55,1,0
2020-03-03,AZ,4,2,0
2020-03-03,CA,6,45,0
2020-03-03,FL,12,3,0
2020-03-03,GA,13,2,0
2020-03-03,IL,17,4,0
2020-03-03,MA,25,2,0
2020-03-03,NE,31,13,0
2020-03-03,NH,33,2,0
2020-03-03,NY,36,2,0
2020-03-03,NC,37,1,0
2020-03-03,OR,41,2,0
2020-03-03,RI,44,2,0
2020-03-03,TX,48,11,0
2020-03-03,UT,49,1,0
2020-03-03,WA,53,32,10
2020-03-03,WI,55,1,0
2020-03-04,AZ,4,2,0
2020-03-04,CA,6,55,1
2020-03-04,FL,12,3,0
2020-03-04,GA,13,2,0
2020-03-04,IL,17,4,0
2020-03-04,MA,25,2,0
2020-03-04,NE,31,13,0
2020-03-04,NH,33,2,0
2020-03-04,NJ,34,1,0
2020-03-04,NY,36,11,0
2020-03-04,NC,37,1,0
2020-03-04,OR,41,2,0
2020-03-04,RI,44,2,0
2020-03-04,TX,48,12,0
2020-03-04,UT,49,1,0
2020-03-04,WA,53,47,11
2020-03-04,WI,55,1,0
2020-03-05,AZ,4,2,0
2020-03-05,CA,6,67,1
2020-03-05,CO,8,2,0
2020-03-05,FL,12,4,0
2020-03-05,GA,13,2,0
2020-03-05,IL,17,5,0
2020-03-05,MD,24,3,0
2020-03-05,MA,25,3,0
2020-03-05,NE,31,13,0
2020-03-05,NV,32,2,0
2020-03-05,NH,33,2,0
2020-03-05,NJ,34,2,0
2020-03-05,NY,36,22,0
2020-03-05,NC,37,1,0
2020-03-05,OR,41,2,0
2020-03-05,RI,44,2,0
2020-03-05,TN,47,1,0
2020-03-05,TX,48,16,0
2020-03-05,UT,49,1,0
2020-03-05,WA,53,75,11
2020-03-05,WI,55,1,0
2020-03-06,AZ,4,3,0
2020-03-06,CA,6,81,1
2020-03-06,CO,8,8,0
2020-03-06,FL,12,7,2
